iter	Passed	Remaining
0	1	1543
1	2	1150
2	3	1128
3	4	1026
4	4	952
5	5	919
6	6	898
7	7	875
8	7	850
9	8	836
10	9	827
11	9	815
12	10	806
13	11	802
14	12	812
15	13	816
16	14	814
17	14	811
18	15	815
19	16	807
20	17	799
21	17	795
22	18	798
23	19	792
24	20	783
25	20	780
26	21	779
27	22	773
28	22	769
29	23	768
30	24	768
31	25	764
32	25	761
33	26	766
34	28	772
35	29	778
36	30	781
37	30	779
38	31	779
39	32	779
40	33	776
41	33	774
42	34	773
43	35	772
44	36	770
45	36	767
46	37	767
47	38	764
48	39	761
49	39	757
50	40	755
51	41	755
52	42	756
53	43	757
54	44	760
55	45	759
56	45	757
57	46	754
58	47	751
59	47	749
60	48	748
61	49	746
62	50	743
63	50	741
64	51	743
65	52	740
66	53	739
67	53	740
68	54	741
69	55	738
70	56	738
71	57	736
72	57	736
73	58	736
74	59	737
75	60	738
76	61	738
77	62	736
78	63	735
79	63	734
80	64	732
81	65	731
82	65	725
83	66	723
84	67	722
85	67	721
86	68	721
87	69	720
88	70	719
89	70	717
90	71	715
91	72	714
92	73	713
93	74	713
94	74	713
95	75	712
96	76	711
97	77	709
98	77	707
99	78	704
100	78	701
101	79	700
102	80	699
103	80	697
104	81	696
105	82	695
106	83	693
107	83	691
108	84	689
109	84	687
110	85	685
111	86	683
112	86	680
113	87	678
114	87	676
115	88	676
116	89	675
117	90	674
118	91	674
119	91	672
120	92	672
121	93	669
122	93	668
123	94	666
124	95	665
125	95	665
126	96	662
127	96	660
128	97	658
129	98	656
130	98	654
131	99	653
132	99	651
133	100	650
134	101	648
135	101	646
136	102	644
137	102	643
138	103	642
139	104	641
140	105	643
141	106	641
142	106	640
143	107	639
144	108	638
145	108	636
146	109	634
147	110	633
148	110	631
149	111	630
150	111	628
151	112	627
152	113	626
153	113	624
154	114	623
155	115	622
156	115	620
157	116	619
158	116	618
159	117	616
160	117	614
161	118	612
162	120	616
163	121	617
164	121	616
165	122	617
166	123	616
167	124	615
168	125	615
169	125	614
170	126	613
171	127	611
172	127	611
173	128	610
174	129	608
175	129	607
176	130	606
177	130	604
178	131	603
179	132	601
180	132	600
181	133	599
182	133	597
183	134	597
184	135	597
185	136	597
186	137	597
187	138	597
188	139	597
189	139	596
190	140	595
191	141	595
192	142	594
193	143	594
194	144	594
195	144	593
196	145	592
197	145	591
198	146	589
199	147	588
200	147	587
201	148	586
202	148	584
203	150	586
204	151	587
205	152	586
206	152	586
207	153	585
208	154	584
209	155	583
210	155	582
211	156	581
212	156	579
213	157	578
214	158	577
215	158	577
216	159	576
217	160	574
218	161	574
219	161	572
220	162	571
221	162	570
222	163	569
223	163	568
224	164	567
225	165	566
226	166	566
227	166	565
228	167	565
229	168	564
230	169	563
231	169	562
232	170	561
233	171	560
234	171	559
235	172	558
236	172	556
237	173	555
238	174	554
239	174	553
240	175	552
241	175	550
242	176	550
243	177	548
244	177	547
245	178	546
246	178	545
247	179	544
248	180	545
249	181	545
250	182	545
